Category,Puzzle,Letters
Phrase,WAIT IT OUT,A B C D
Occupation,BOOKKEEPER,C P M O
Phrase,PLUG IT IN,
Place,OFFSTAGE,
Things,HIGH HOPES,C D M A
Living Thing,PEACOCK,
Thing,THICK FOG,? ? C A
Things,HEIGHT & WEIGHT,
Phrase,YOU'VE GOT SPUNK,W H P O
On the Map,SHANGHAI,H P M I
Thing,THE GOODYEAR BLIMP,
Thing,STAMP OF APPROVAL,
Thing,PLAYBOOK,
On the Map,LUBBOCK,A D M P
People,CHAMPIONS,
On the Map,WICHITA,M C D A
Living Thing,DRAGONFLY,M P Y A
Phrase,I'M NOT BUDGING,C D G I
Thing,SKETCHPAD,
Person,BODYGUARD,
On the Map,WINNIPEG,P C H I
Things,PLAID PAJAMAS,G K C O
Living Thing,BLACKBIRD,B D H I
Thing,CURFEW,C H M A
Thing,HOMEWORK,Y K M A
Phrase,ABOVE AND BEYOND,? ? D A
Thing,YEARBOOK,C D M O
Around the House,BATHROBE,
Thing,SNOWPLOW,P M W O
Living Things,WOODCHUCKS,
Phrase,HOLD THE MAYO,? H M A
Things,FORK & KNIFE,F P M I
Thing,FOGHORN,B G H O
Phrase,WE HIT IT OFF,
Phrase,PUPPY LOVE,
Living Things,SHRUBS,
Thing,WIDOW'S PEAK,
Person,BOOKWORM,C M F A
Phrase,TWO OF A KIND,
Thing,DRAWBRIDGE,
Things,PARKA & GLOVES,
Fictional Characters,PLUTO & GOOFY,
Phrase,TAKE A BOW,? ? ? A
Event,WALKING THE DOG,
Thing,CROWBAR,
Phrase,MAKING WAVES,
Things,PIANO KEYS,
Occupation,BROKER,? ? ? O
Things,CHUBBY CHEEKS,C H M A
Around the House,DOORKNOB,? D B ?
Thing,CHURCH HYMN,
Phrase,FULL OF MISCHIEF,
Thing,BEAUTY MARK,
Phrase,SHRINK-WRAPPED,
Thing,TAPIOCA PUDDING,C D P A
Place,BABY'S ROOM,
Fictional Characters,GUMBY & POKEY,D G M A
Thing,KEYBOARD,C D M A
Things,HUBCAPS,B G P A
On the Map,HAMBURG,C M D I
Phrase,PIPING HOT,? P G I
Phrase,GIVE ME FIVE,B M P I
Things,FAVORS,B C D A
Phrase,HEAVY-DUTY,
Living Thing,COUGAR,
On the Map,BANGKOK,? ? ? A
Phrase,LOOK SHARP,
Living Thing,FLYING FISH,
Event,VICTORY LAP,? ? P O
Thing,SCRAPBOOK,
On the Map,CAMBRIDGE,
People,GOLF BUDDIES,D P H O
Around the House,HUMIDIFIER,
Phrase,ALL CHOKED UP,
Thing,PAPRIKA,
Phrase,PLAYING A HUNCH,
Event,HAILING A TAXI,
Around the House,COUGH SYRUP,
Occupation,JOCKEY,M D H O
Proper Name,KEVIN SPACEY,M G C A
Occupation,BIOGRAPHER,
Thing,HOT APPETIZER,
Around the House,MAHOGANY DESK,C H M A
Phrase,LIVING PROOF,G P M O
Living Things,GOLDEN POPPIES,H C D O
Person,CIVILIAN,
Place,PHARMACY,C P M A
Thing,RIPE SQUASH,
Thing,SHINY BUGLE,
Thing,RAINBOW,? ? ? A
Thing,CASHEW,
Things,BICEPS,
Phrase,ENJOY THE SHOW,W H C O
Phrase,CAMERA-SHY,
On the Map,WYOMING,
Phrase,LAUGH IT UP,B C V I
Things,POWER WINDOWS,G W D O
Place,CABBAGE PATCH,
Things,FOOD CRAVINGS,
Phrase,I'M IN A FIX,
Things,HELPFUL HINTS,M D C I
Person,CHATTERBOX,
Phrase,PICK UP THE PACE,
Thing,PIZZA PAN,
Phrase,LOOK BOTH WAYS,H D C A
Things,PARTY FAVORS,
On the Map,TOKYO,
Occupation,COURT BAILIFF,
Phrase,BUYING IN BULK,
Phrase,I GOT PAID,H D F A
Phrase,A PASSING FANCY,G C P A
On the Map,ALBANY,
Phrase,I'M BUSY,B P M I
Phrase,QUICK AS A WINK,? ? ? I
Thing,PATIO AWNING,
Things,GIMMICKS,
Event,BARGAIN SHOPPING,? G H I
Phrase,BREAK THE BANK,? ? ? A
Phrase,IT'S PAYDAY,
Around the House,HIDEAWAY BED,D C B O
Thing,YARDSTICK,P C D O
Event,CHOPPING WOOD,
Thing,GLOBE,
Phrase,MAKE A CHOICE,
Around the House,BABY WIPES,
Phrase,IT'S UP TO YOU,
Thing,KICKSTAND,
Thing,A GAME OF BINGO,
Things,CLIFFS,
Phrase,IT'S BAFFLING,
Event,PAYING BILLS,C P D I
Things,HICCUPS,M P F O
Around the House,SCOURING PAD,
Person,BICYCLIST,C P D O
Event,CLOUDY DAY,
Event,PLAYING A PRANK,P D G A
Phrase,HOPPING MAD,
Things,COBWEBS,
Thing,PITCHFORK,
Things,HOME MOVIES,C D M A
Event,BAKING A CAKE,M D C A
Phrase,DEAR DIARY,D M F A
Phrase,LOADS OF FUN,M B F A
Thing,CAB FARE,M D F A
Thing,CHILI SAUCE,M H D I
Things,GARBANZO BEANS,
Phrase,HIGH AND MIGHTY,
Fictional Character,PAPA SMURF,P M D A
Phrase,PIECE OF MIND,P M D I
Thing,SCOREBOARD,P C B A
Phrase,GOING BY THE BOOK,G C H I
Phrase,AS I WAS SAYING,
Things,LUGGAGE TAGS,C P M A
Around the House,SHOWER THONGS,
Thing,PLAYPEN,
Thing,FLAGPOLE,
Phrase,COME WHAT MAY,C D M O
Place,BOAT DOCK,
Phrase,A WAY WITH WORDS,
Fictional Character,GOLDILOCKS, 
Living Thing,FRISKY CAT, 
Living Thing,THE FAMILY DOG,H P C O
Things,ADJECTIVES, 
Person,PUBLIC SPEAKER,C D M A
Things,BREAD CRUMBS, 
Phrase,HOW IRONIC, 
On the Map,KITTY HAWK,
Phrase,EBB AND FLOW,
Phrase,FORGING AHEAD, 
Person,FOREIGN DIGNITARY,C D H O
Around the House,MIXING BOWL,G C M O
Event,SINGING OFF-KEY,C D P O
Place,ORANGE GROVE,C D M A 
Thing,FROZEN FOOD,
Thing,WINDOW DISPLAY,C D K A
Phrase,GOOD-HUMORED,? ? D ?
Thing,TOBOGGAN,? ? G O
On the Map,ROANOKE, 
Things,CANDIED YAMS,P H G I
Phrase,PAYING YOUR DUES,G P W O
Event,DRIVING TO WORK,Y G C I
Fictional Character,MAID MARIAN,
Phrase,KICK THE HABIT, 
Proper Name,GOLDIE HAWN,C D I B
Thing,HIGHWAY SIGN,P C H O
Fictional Characters,BAMBI & THUMPER,C D M O
Thing,BOWLING PIN,G P M A
Around The House,BUG SPRAY,C D M A
Phrase,GO FOR BROKE,D P F O
Fictional Character,RAGGEDY ANDY,C P M O
Thing,GRACE PERIOD,G C D O
Phrase,UP FOR GRABS,G C D O
People,BOBSLED TEAM, 
On The Map,NOVA SCOTIA, 
On The Map,WAIKIKI BEACH, 
Thing,PASSAGEWAY,M P K A
Thing,BOOKMARK, 
Fictional Character,FONZIE, 
On The Map,PIKES PEAK, 
Phrase,MIX AND MATCH,C D M A
Phrase,MACHINE WASHABLE,C P M I
Phrase,BACK TO BASICS,C P M A
Thing,HARMONICA, 
Thing,AIR PURIFIER,C D M I
Thing,CUBBYHOLE,P D M O
Thing,PAPERWORK,C M P I
Living Things,FOXES,C D B O
People,ROWDY CROWD,M D P O
Phrase,A NEW JOB,G D C A
Thing,AN OCEAN VIEW,C P G A
Phrase,MAYBE SOMEDAY,C D M A
People,HUBBIES, 
Person,AN OLD SOFTY, 
Thing,A CLEAN SHAVE,C H V A
People,VIRGOS,C D M I
Thing,HIPBONE,C H M A
Event,DAYBREAK,K W D O
Phrase,MAKING HEADWAY,M G D I
Things,ROUGH ROADS,M G D A
Thing,CARGO SHIP,D M H A
Thing,HONEY,M C P O
Person,HOCKEY GOALIE,D C H A
Phrase,I GOOFED,C B H I
Thing,CHEWY CANDY, 
Thing,A NIFTY IDEA,H C M O
Person,HIKER,P M C? O
Things,HIGHWAYS, 
Phrase,A GUTSY MOVE, 
Place,BOROUGH,P M C A
Things,FUJI APPLES,C M D A
Person,A HEAVY HITTER,C D P A
Phrase,RICH IN FLAVOR,H C D O
Phrase,ALL PAID UP,P K D A
On The Menu,CHUNKY SOUP,C H G A
Event,A GROUP HUG,D M P A
Phrase,A SHOW OF HANDS,C M H A
Thing,GROCERY BAG,C P Y O
Person,BANJO PLAYER,? ? ? A
Living Thing,JAGUAR,? ? G ?
Phrase,A WORK OF GENIUS,C D B A
Thing,VEHICLE,H D G A
Things,GUAVAS,G P D A
Phrase,SHAKE IT OFF,C D G A
Thing,WIND-UP TOY, 
Thing,A GOOD VALUE,A C D M
Event,DAILY WORKOUT,D C B A
Living Thing,VIPER,B C D O
Event,JOB FAIR,H C M U
Event,SQUEAKING BY,P M G I
Fictional Character,MARY POPPINS, 
Person,TROPHY MAKER,C B M A
Phrase,YOU HAVE TO FOCUS, 
Event,GAME OF CROQUET,F M P O
Things,MYTHS,B H M A
Title,VOGUE,C D P A
Phrase,BUYING POWER,G D H A
Thing,HANDBOOK,F P M I
Place,JURY BOX,P D G I
Thing,A GOOD LAUGH,M F K A
Phrase,COMFY AND COZY,D P Y A
Thing,FIBER,M P G I
Thing,BRONZE BUST,? ? B O
Phrase,PRY IT OPEN,C M G A?
On The Map,GLASGOW,D C B A
Phrase,A FRIENDLY WAGER,C M P A
Event,A BAD HAIR DAY,D G P A
Phrase,PROOF POSITIVE,F P G O
On The Map,BULGARIA,P C D A
Phrase,STAYING POWER,D P Y O
Phrase,JOG MY MEMORY,H M C I
Classic TV,MORK FROM ORK,C M G A
Phrase,I'M PROUD OF YOU,M D F O
Around the House,CHAFING DISH,G M D I
Thing,A HAPPY FACE,C D M A
Thing,OFFICE GOSSIP,K M C A
