Category,Puzzle,Letters
Phrase,OVERWHELMING FAVORITE,C D M I
What Are You Doing?,CHOOSING A MAJOR,
Thing,PORCH AWNING,D M H A
Thing,PHOTOGRAPHY EXHIBIT,M H C O
Thing,PROFITABILITY,
What Are You Doing?,WAITING ANXIOUSLY,G Y C I
Food & Drink,FLAVORFUL APPETIZER,F P G A
Thing,VOCAL HARMONY,P F G O
Thing,PUFFY JACKET,D M P O
Phrase,BUSY WITH HOUSEWORK,P C D A
Phrase,AHEAD OF THE PACK,F P D A
Phrase,WHAT A CRAZY DAY,H M P A
Thing,FANCY HANDBAG,G B M O
Thing,UTILITY VEHICLE,H B M I
Phrase,DOWNRIGHT HYSTERICAL,B C D I
Thing,POPULAR OPTION,G M P O
What Are You Doing?,JOINING A BOOK CLUB,C D M I
Things,BASIC QUALIFICATIONS,P C M I
Phrase,POP OPEN THE HOOD,H P D A
Phrase,ON MY WAY HOME,M C D I
Phrase,HOT AND JUICY,D H M A
Thing,WITTY JOKE,C D M O
Thing,PRIVACY POLICY,M D B A
Thing,GUST OF AIR,H M C A
Thing,A PACKAGE IN YOUR MAILBOX,P H G O
What Are You Doing?,UPDATING MY WEBSITE,G P H O
What Are You Doing?,DOWNLOADING A VIDEO,C D G I
Phrase,I GOT A KICK OUT OF IT,
What Are You Doing?,BOOKING MY OWN FLIGHT,G M F I
Thing,DISCIPLINED APPROACH,H M P O
Things,A BUNCH OF COPIES,G D P O
Thing,ACADEMIC PROGRAM,C H G O
Thing,BIDDING WAR,B D M O
Place,OFFICE PARK,C K H A
Thing,HUGE YACHT,H M G I
Phrase,QUITE A HAUL,H P D A
Thing,HOLIDAY WREATH,C P D A
What Are You Doing?,PAYING IT FORWARD,C D B A
What Are You Doing?,FILLING MY QUOTA,Y F D A
Thing,PIGEONHOLE,C P G A
Phrase,MIX THINGS UP,H P C I
What Are You Doing?,BROWSING THE AISLES,C G H I
Thing,JOINT VENTURE,G D F U
Thing,YOUR IMAGINATION,C H D A
Phrase,JUST ABOVE A WHISPER,F C D A
Phrase,WAITING FOR HOURS,F H D O
Things,CARDBOARD BOXES,P H G O
Phrase,BY THE BOOK,D H F I
Thing,DYNAMIC VOICE,C P M O
Person,AMAZING PIANIST,G D P O
Phrase,ON OUR WAY TO THE GYM,F H C I
Thing,FLOPPY HAT,C H D A
Phrase,OVER THE HUMP,H V P O
Person,PROUD OWNER,P D I M
Thing,FUDGE BROWNIE RECIPE,D M G A
Phrase,IN GOOD COMPANY,P D O M
Things,PACKAGING SUPPLIES,D M C I
Thing,CHILLY OCEAN WIND,Y D M A
Phrase,SHAKE OFF THE COBWEBS,M G P O
Thing,HEROIC JOURNEY,C D P O
Phrase,IT BOILS DOWN TO THIS,P H G O
Phrase,PAVED THE WAY,M D B I
Person,FAMOUS COMPOSER,G H B I
Thing,MAGIC POWER,G H F O
Thing,PAISLEY FABRIC,C H D A
Place,OFFICE CUBICLE,C M D O
Phrase,QUITE CURIOUS,
Person,AMAZING KID,C P B A
Thing,MY BIG BREAK,H D G A
